Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,Architecture,ENV DES,Environmental Design,101B,1,1 Long Composition,Raymond Lifchez,29033,2,6,,,1,,,1,,,,,,,10
2015 Fall,Architecture,ENV DES,Environmental Design,102,1,Sustnble Urbanism,David Waldron,29036,5,7,12,12,1,1,2,,,,,,,4,45
2015 Fall,Architecture,VIS STD,Visual Studies,185X,1,Word And Image,Anthony Dubovsky,4253,3,8,1,,2,,,,,,,,,,14
2015 Fall,Architecture,VIS STD,Visual Studies,186B,1,Photo Art Form,Jean Bourdier,4256,1,8,5,,1,,,,,,,,,,15
2015 Fall,Art Practice,ART,Art Practice,8,1,Intro Vis Thinking,John Mcnamara,4403,15,34,9,6,1,,,,,,,,,,65
2015 Fall,Art Practice,ART,Art Practice,12,1,Lang Of Draw,James Pitt,4418,3,19,,,,,,,,,,,,1,25
2015 Fall,Art Practice,ART,Art Practice,12,2,Lang Of Draw,Craig Nagasawa,4421,,16,2,,,,,,,,,,,,19
2015 Fall,Art Practice,ART,Art Practice,13,2,Lang Of Painting,John Mcnamara,4424,2,14,2,,,,,,,,,,1,,19
2015 Fall,Art Practice,ART,Art Practice,14,1,Lang Of Sculpture,Randy Hussong,4427,,15,2,,,,,,,,,,,,17
2015 Fall,Art Practice,ART,Art Practice,15,1,Lang Sculp:Ceram,Erik Scollon,4432,,6,7,2,2,,,,,,,,1,,20
2015 Fall,Art Practice,ART,Art Practice,16,1,Intro Printmaking,Randy Hussong,4433,,14,,1,,1,,,,,,,,,16
2015 Fall,Art Practice,ART,Art Practice,21,1,Digital Photography,Allan Desouza,4436,,10,6,1,,,,,,,,,,,18
2015 Fall,Art Practice,ART,Art Practice,26,1,Mov Image Media,Greg Niemeyer,4439,,7,,1,3,,,,,,,,,1,12
2015 Fall,Art Practice,ART,Art Practice,98,3,Directed Group Stdy,John Mcnamara,4454,,,,,,,,,,,,,,,12
2015 Fall,Art Practice,ART,Art Practice,102,1,Approaches To Ptng,Katherine Sherwood,4505,1,7,6,6,,,,,,,,,,,21
2015 Fall,Art Practice,ART,Art Practice,102,2,Approaches To Ptng,Michael Hall,4508,,15,1,,,,,,,,,,,,16
2015 Fall,Art Practice,ART,Art Practice,117,1,"Rsrch, Mthds Draw",Craig Nagasawa,4511,,21,1,,,,,,,,,,,,22
