Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,History,HISTORY,History,198BC,6,Berkeley Connect Ud,David Henkin; Sarah Gold Mcbride,40035,,,,,,,,,,,,,,,17
2015 Fall,History of Art,HISTART,History of Art,R1B,2,Visual Experience,Ivy Mills; Suzanne Li Puma,4956,,7,5,4,,1,,,,,,,,,17
2015 Fall,History of Art,HISTART,History of Art,R1B,3,Visual Experience,Catherine Telfair,4959,,9,6,3,2,,,,,,,,,,20
2015 Fall,History of Art,HISTART,History of Art,R1B,4,Visual Experience,Catherine Telfair,4962,,5,6,5,2,,,,,,,,,,18
2015 Fall,History of Art,HISTART,History of Art,R1B,5,Visual Experience,Ivy Mills,4965,,4,7,5,,,,1,,,,,,,17
2015 Fall,History of Art,HISTART,History of Art,R1B,7,Visual Experience,Elizabeth Mcfadden; Ivy Mills,4971,,6,4,4,,,1,,,,,,,,15
2015 Fall,History of Art,HISTART,History of Art,R1B,8,Visual Experience,Aubrey Gabel; Ivy Mills,4974,,7,4,2,3,1,1,1,,,,,,,19
2015 Fall,History of Art,HISTART,History of Art,R1B,9,Visual Experience,Ivy Mills; Sharone Tomer,4977,,2,4,5,5,,,,,,,,,,16
2015 Fall,History of Art,HISTART,History of Art,R1B,10,Visual Experience,Ivy Mills,4980,,8,4,3,2,,,,,,,,,1,18
2015 Fall,History of Art,HISTART,History of Art,15,1,London Museums,Ann Matchette,4985,,7,20,10,,,,,,,,,,,39
2015 Fall,History of Art,HISTART,History of Art,35,1,Art & Arch In Japan,Gregory Levine,4983,,19,5,3,3,1,2,1,1,,,,,,46
2015 Fall,History of Art,HISTART,History of Art,62,1,Intro Ital Ren Art,Henrike Lange,4995,,9,5,6,9,2,,,,,,,,2,45
2015 Fall,History of Art,HISTART,History of Art,101,1,Global Methods,Beate Fricke; Lisa Trever; Sugata Ray,5026,3,22,10,2,1,,,1,,,,,,3,44
2015 Fall,History of Art,HISTART,History of Art,C121A,1,Topics Islamic Art,Anneka Lenssen,5027,,11,6,3,,,,1,,,,,,,22
2015 Fall,History of Art,HISTART,History of Art,130A,1,Early Chinese - I,Patricia Berger,4976,,5,10,1,,,,2,1,,,,,,26
2015 Fall,History of Art,HISTART,History of Art,141A,1,Archaic Greek Art,Andrew Stewart,5040,3,2,3,1,5,2,4,2,1,1,,,,,29
2015 Fall,History of Art,HISTART,History of Art,171,1,Mod Spain/Col Amer,Todd Olson,5054,,8,4,3,2,1,,,,,1,,,,23
2015 Fall,History of Art,HISTART,History of Art,186C,1,Later 20th Cent Art,Julia Bryan-Wilson,5055,3,26,24,11,4,3,,,,,,,,,75
2015 Fall,History of Art,HISTART,History of Art,192F,1,19th-20th Century,Imogen Hart,5109,,6,3,4,,1,,,,,,,,,14
2015 Fall,History of Art,HISTART,History of Art,192L,1,Sem: Research Prob,Lisa Trever,5112,,5,3,2,1,,,,,,,,,1,12
2015 Fall,IAS Teaching Program,ASIANST,Asian Studies,10,1,Intro To Asia,Crystal Cohen,5753,,12,21,20,19,7,2,1,,,,,,2,122
2015 Fall,IAS Teaching Program,ASIANST,Asian Studies,150,1,Special Topics,Jack Davey,5786,,8,2,2,,,,,,,,,2,,17
2015 Fall,IAS Teaching Program,ASIANST,Asian Studies,150,2,Special Topics,Keiko Yamanaka,5789,1,19,4,,,,,,,,,,,,26
2015 Fall,IAS Teaching Program,ASIANST,Asian Studies,150,3,Special Topics,Jack Davey,5791,,3,3,,1,,1,,,,,,1,,11
2015 Fall,IAS Teaching Program,DEV STD,Development Studies,C10,1,Intro Development,Michael Watts,18703,7,39,28,8,7,6,1,3,,,,,1,,117
2015 Fall,IAS Teaching Program,DEV STD,Development Studies,24,1,Freshman Seminar,Erin Murphy-Graham,18732,,,,,,,,,,,,,,,15
2015 Fall,IAS Teaching Program,DEV STD,Development Studies,150,1,Adv Study Dev Study,Gillian Hart,18733,,11,9,6,4,3,2,1,,,,,,,39
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,105,1,Global Practice,Kweku Opoku Agyemang,38303,4,8,2,2,1,1,,,,,,,,,18
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,115,1,Global Poverty,Fatmir Haskaj,38312,5,96,85,39,17,7,3,2,,,,,3,,302
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,150AC,1,Spec Topic Gpp (Ac),Cecilia Lucas,38359,3,7,6,3,,,,,,,,,,,23
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,196,1,Global Capstone,Cecilia Lucas,38360,,4,4,9,1,,,,,,,,,,18
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,196,2,Global Capstone,Cecilia Lucas,38363,,6,3,3,3,1,,,,,,,,1,17
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,196,3,Global Capstone,Khalid Kadir,38366,1,4,8,2,1,1,,,,,,,,,17
2015 Fall,IAS Teaching Program,GPP,Global Poverty & Practice,196,4,Global Capstone,Khalid Kadir,38369,2,4,6,3,,1,,,,,,,,1,17
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,45,1,Survy World History,David Beecher,46403,,5,14,15,53,26,8,12,5,,1,1,3,2,152
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,102,1,Scope And Methods,Clare Talwalker,46430,,3,6,5,2,1,1,1,,,,,,,20
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,102,2,Scope And Methods,Bruce Newsome,46433,,,1,7,5,2,4,1,,,,,,1,21
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,H102,1,Scope And Methods,Stephanie Ballenger,46436,,5,7,1,2,,,,,,,,,,15
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,107,1,Inter Macro Theory,Mario Muzzi,46442,1,10,15,12,23,6,17,8,2,1,2,3,3,,104
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,C118,1,Intro Econometrics,Elisabeth Sadoulet,46463,1,1,1,2,2,5,2,2,1,,,,,,20
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,C148,1,Educ And Intl Dev,Erin Murphy-Graham,46472,,3,8,5,1,,1,,,,,,,,21
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,5,Adv Std In Ias,Stephanie Ballenger,46487,,4,4,4,4,2,,1,,,,,2,,26
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,6,Adv Std In Ias,Bruce Newsome,46490,,1,2,6,3,3,,,,,,,,,18
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,8,Adv Std In Ias,Clare Talwalker,46496,,10,4,4,1,,,,,,,,,2,26
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,9,Adv Std In Ias,Sarah Reynolds,46499,1,9,5,2,1,5,1,1,,,,,1,1,28
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,150,10,Adv Std In Ias,Syed Imran Ali,46501,2,3,6,3,2,1,,1,,,,,,,20
2015 Fall,IAS Teaching Program,IAS,International & Area Stds,194,3,Senior Sem In Ias,Stephanie Ballenger,46529,,2,4,3,2,,,,1,,,,1,,13
2015 Fall,IAS Teaching Program,LATAMST,Latin American Studies,10,1,Intro Latin Am Stud,Tiffany Page,49103,,2,8,9,11,6,3,,1,,1,,,1,53
2015 Fall,IAS Teaching Program,LATAMST,Latin American Studies,150,1,Advanced Studies,Clara Nicholls,49115,,21,9,2,,,,,,,,,,,33
2015 Fall,IAS Teaching Program,M E STU,Middle Eastern Studies,150,1,Adv Std Middle East,Daniel Zoughbie,57012,1,6,9,4,,,,,,,,,,,21
2015 Fall,IAS Teaching Program,M E STU,Middle Eastern Studies,150,2,Adv Std Middle East,Peter Bartu,57015,,11,11,,,,,,,,,,,,26
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,10,1,Introd To Pacs,Karenjot Bhangoo Randhawa,66703,2,31,44,22,22,12,4,3,3,1,4,,1,1,168
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,94,1,Meditation,Americ Azevedo,66724,,,,,,,,,,,,,,,385
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,100,1,Peace Theories,Darren Zook,66727,,26,9,5,4,1,3,3,,,,,2,,56
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,119,2,Special Topics,Manuela Travaglianti,66733,1,6,3,4,1,2,,,,,,,,,19
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,119,3,Special Topics,Tetsushi Ogata,66736,2,12,7,1,2,2,,1,1,,,,2,,32
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,119,4,Special Topics,Hans Giesecke,66739,,3,10,,3,1,1,1,,,,,,,21
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,126,1,Interl Human Rights,Darren Zook,66742,,32,21,28,15,6,1,,1,1,,,1,,142
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,150,1,Conflict Resolution,Karenjot Bhangoo Randhawa,66748,,13,12,9,5,,,,,,,,,1,44
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,164A,1,Nonviolence,Americ Azevedo,66751,4,24,5,7,1,,1,1,,,,,,,48
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,170,1,"Conflct Res,Soc Chg",Tetsushi Ogata,66754,,6,9,1,2,4,,1,,,,2,,1,32
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,190,1,Senior Seminar,Manuela Travaglianti,66757,,2,6,3,3,2,,,,,,,,3,19
2015 Fall,IAS Teaching Program,PACS,Peace & Conflict Studies,190,2,Senior Seminar,Manuela Travaglianti,66760,,2,4,3,3,,,,,,,,,1,13
2015 Fall,IAS Teaching Program,POLECON,Political Economy,100,1,Theory Of Pol Econ,Alan Karras,71206,,8,21,21,34,17,9,10,8,1,1,,5,,144
2015 Fall,IAS Teaching Program,POLECON,Political Economy,101,1,Contemp Theo Pol Ec,Khalid Kadir,71227,4,18,19,28,30,18,11,5,2,2,,,3,3,152
2015 Fall,IAS Teaching Program,POLECON,Political Economy,160,1,Pe His Context,David Beecher,71251,,1,4,11,17,1,2,5,,,,,,,42
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,24,1,Freshman Seminars,Kenneth Goldberg,41003,,,,,,,,,,,,,,,18
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,115,1,Ind & Comm Data Sys,Kenneth Goldberg,41015,7,12,14,11,7,3,,,1,,1,,,,59
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,130,1,Method Manuf Improv,Robert Leachman,41024,1,4,2,3,7,7,,,,,,,,,26
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,150,1,Prod Systs Analys,Robert Leachman,41027,1,3,3,3,4,2,3,,,,,,,,21
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,151,1,Serv Oper Desg Anal,Anil Aswani,41030,4,12,14,4,4,,,,,,,,,,38
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,160,1,Nonlin & Dis Optimz,Javad Lavaeiyanesi,41033,9,8,14,18,19,,3,3,,3,,1,1,,86
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,162,1,Linp & Netwrk Flows,Dorit Hochbaum,41042,3,26,21,10,1,3,5,,2,,,,,,75
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,171,1,Tech Firm Leadrship,Ronald Lesniak,41051,43,31,9,1,,,,1,,,,,,,85
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,172,1,Probability Eng,Rhonda Righter,41054,2,34,4,1,32,,2,2,1,,,,,2,81
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,180,1,Senior Project,Philip Kaminsky,41063,5,8,2,,,,,,,,,,,,15
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,185,1,Challenge Lab,Kenneth Singer,41069,2,13,2,2,,,,,,,,,,,21
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,186,1,Product Management,Kenneth Sandy,41081,6,11,8,7,3,1,1,1,1,,,,,,54
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,186,2,Product Management,Kenneth Sandy,41082,5,13,8,5,2,2,,,1,,,,,,43
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,190A,1,Advance Topics Ieor,Kenneth Singer,41083,,30,,,,,,,,,,,,8,49
2015 Fall,Industrial Eng & Ops Rsch,IND ENG,Industrial Eng & Ops Rsch,191,1,Entrepreneurship,Naeem Zafar,41090,4,12,8,14,1,1,,,,,,,,,45
2015 Fall,Information,INFO,Info Mgmt & Systems,C167,1,Virtul Comm/Soc Med,Edwin Lin,41506,3,27,3,1,1,,,,,,,,,,36
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,24,8,Freshman Seminars,Han Lim,42124,2,6,2,1,2,,,,,,,,,,15
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,24,9,Freshman Seminars,Kevin Padian,42127,,4,1,,3,4,,,,,,,,,12
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,35AC,1,Hum Bio Variation,Leslea Hlusko,42130,15,101,34,21,15,3,2,4,,,2,,3,,294
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C82,1,Oceans,Ivo Duijnstee; James Bishop,42178,4,7,,4,2,1,2,1,1,,,,,,32
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C107L,1,Plant Morphol W Lab,Chelsea Specht,42280,2,5,,1,1,,,1,,,,,,1,11
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,117,1,Medical Ethnobotany,Thomas Carlson,42304,11,51,25,30,36,17,6,13,7,,,,1,2,234
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,117LF,1,Med Ethnobotany Lab,Arielle Halpern; Thomas Carlson,42307,3,8,1,1,3,,,4,,,,,,,23
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,117LF,2,Med Ethnobotany Lab,Charlotte Jennings; Thomas Carlson,42310,,3,3,3,4,2,,2,,,,,,,18
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,118,1,Host-Path Interact,Michael Shapira,42313,,5,5,9,5,,3,1,,,1,,1,,34
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,123AL,1,Exercise Physio Lab,George Brooks,42322,,3,14,15,11,10,1,1,,,,,,,56
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C125L,1,Intro Biomech Anal,M. Scott,42337,,4,3,2,2,,1,,,,,,,,12
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131,1,Human Anatomy,Thomas Carlson,42343,12,90,61,68,66,39,31,24,9,3,3,1,4,2,460
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,1,Human Anatomy Lab,Erik Sathe; Thomas Carlson,42346,2,4,5,4,4,2,1,1,,,,1,,,27
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,2,Human Anatomy Lab,Shawn Shirazi; Thomas Carlson,42349,1,5,7,4,3,1,1,1,,,,,,,25
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,3,Human Anatomy Lab,Sofia Chang; Thomas Carlson,42352,,2,2,8,2,1,1,1,,,,,,,19
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,4,Human Anatomy Lab,Sunhee Kim; Thomas Carlson,42355,3,4,8,7,3,,,1,,,,1,,,29
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,5,Human Anatomy Lab,Diana Chen; Thomas Carlson,42358,1,3,1,6,3,1,1,2,1,,1,,,,22
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,6,Human Anatomy Lab,Tesla Monson; Thomas Carlson,42361,,6,1,5,5,1,,2,1,,1,,,,26
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,7,Human Anatomy Lab,Luke Bloch; Thomas Carlson,42364,2,4,6,2,8,1,2,,,,1,,,,26
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,8,Human Anatomy Lab,Thomas Carlson; Zixiang Zhang,42367,,1,4,5,6,2,,1,,,,,,,22
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,9,Human Anatomy Lab,Crystal Wang; Thomas Carlson,42370,,4,3,4,5,,1,1,,,,,,,20
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,10,Human Anatomy Lab,Sarah Hykin; Thomas Carlson,42373,1,3,2,6,5,,,,,,,1,,,23
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,11,Human Anatomy Lab,Sarah Whiteside; Thomas Carlson,42376,,2,4,1,2,2,1,,1,,1,,,,14
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,12,Human Anatomy Lab,Benjamin Muddiman; Thomas Carlson,42379,,4,3,1,2,,1,1,1,,,,1,,16
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,131L,13,Human Anatomy Lab,Sara Elshafie; Thomas Carlson,42382,1,1,4,4,1,3,,2,,,,,2,,20
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,137,1,Human Endo,Tyrone Hayes,42409,2,14,1,,10,3,2,9,,2,3,,2,,62
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,139,1,Neuro Bio Of Stress,Daniela Kaufer,42430,2,17,11,10,6,2,1,,,,,,,,55
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C144,1,Animal Behavior,Alan Krakauer; Eileen Lacey; George Bentley,42442,1,9,16,25,32,14,9,4,2,1,1,,,,117
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,153,1,Ecol,Wayne Sousa,42481,2,14,6,4,8,5,4,11,4,,,,,,60
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,154,1,Plant Ecology,David Ackerly,42493,,13,7,8,11,5,3,3,1,,,,,,55
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,154L,1,Plant Ecology Lab,David Ackerly; Dori Contreras; Prahlada Papper,42502,2,8,3,,,,,,,,,,,,13
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,C156,1,Prin Conserv Biol,Steven Beissinger,42505,1,5,4,5,6,2,,,,,,,,1,24
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,157LF,1,Ecosystems Of Calif,Paul Fine,42520,1,14,6,1,,,,,,,,,,,22
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,159,1,The Living Planet,Cynthia Looy; Ivo Duijnstee,42529,4,1,4,2,6,2,5,,1,,1,,1,,30
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,160,1,Evolution,Chelsea Specht; Kevin Padian,42538,15,18,9,14,11,6,7,2,5,1,2,,3,3,98
2015 Fall,Integrative Biology,INTEGBI,Integrative Biology,164,1,Human Gene & Ge,Doris Bachtrog; Rasmus Nielsen,42577,1,8,6,3,11,6,2,9,,,2,,,,51
2015 Fall,Italian Studies,ITALIAN,Italian Studies,1,3,Elementary Italian,Giuliana Perco; Matthew Mason,46909,,2,5,4,1,,1,,,,,,,,16
2015 Fall,Italian Studies,ITALIAN,Italian Studies,1,5,Elementary Italian,Elisa Russian; Giuliana Perco,46915,,3,6,4,,1,,,,,,,,,19
2015 Fall,Italian Studies,ITALIAN,Italian Studies,1,6,Elementary Italian,Giuliana Perco; Michael Hannaman,46918,1,,3,2,2,1,,1,,,,,,,10
2015 Fall,Italian Studies,ITALIAN,Italian Studies,2,3,Elementary Italian,Giuliana Perco; Scott Bishop,46930,,3,3,1,2,,,,,,,,,,11
2015 Fall,Italian Studies,ITALIAN,Italian Studies,R5A,1,Reading & Comp,Albert Ascoli; Jennifer Mackenzie,46948,4,1,5,3,1,2,,,,,,,,,16
2015 Fall,Italian Studies,ITALIAN,Italian Studies,R5B,1,Reading & Comp,Katherine Noson,46954,2,5,1,3,3,1,,1,,,,,,,16
2015 Fall,Italian Studies,ITALIAN,Italian Studies,R5B,2,Reading & Comp,Luis Valladares,46957,1,5,5,1,1,,,1,,,,,,,14
2015 Fall,Italian Studies,ITALIAN,Italian Studies,30,1,Dante (English),Stanley Levers,46960,,30,2,2,2,,,,1,,,,1,,42
2015 Fall,Italian Studies,ITALIAN,Italian Studies,40,1,Italian Culture,Maria Fuller,46972,5,48,20,6,6,3,,3,,,,,,,111
2015 Fall,Italian Studies,ITALIAN,Italian Studies,170,1,Ital Cinema His Gen,Soledad Anatrone,47032,1,5,5,1,2,1,,,,,,,,,15
2015 Fall,Jewish Studies Program,JEWISH,Jewish Studies,120,2,Special Topics,Ori Aronson,47814,,2,3,5,1,,,,,,,,,,11
2015 Fall,Journalism,JOURN,Journalism,24,1,Freshman Seminars,Thomas Leonard,48002,,9,,,,,,,,,,,,,11
2015 Fall,Journalism,JOURN,Journalism,39L,1,Fresh/Soph Seminar,William Drummond,48003,,7,3,,,,,,,,,,,,17
2015 Fall,L&S Deans Office,L & S,Letters & Science,1,1,Liberal Arts,Alix Schwartz,51903,,,,,,,,,,,,,,,92
2015 Fall,L&S Deans Office,L & S,Letters & Science,C5,1,Entrepreneurship,Ajay Bam,51924,1,6,14,17,9,4,,,,,,,1,,72
2015 Fall,L&S Deans Office,L & S,Letters & Science,10,1,On The Same Page,Alix Schwartz,51927,,,,,,,,,,,,,,,39
2015 Fall,L&S Deans Office,L & S,Letters & Science,23,1,The Humanities,Daniel Boyarin; Michael Nylan,51944,4,16,11,6,2,2,1,1,1,,,,2,2,58
2015 Fall,L&S Deans Office,L & S,Letters & Science,C30T,1,Drugs And The Brain,David Presti,51945,2,22,10,11,10,7,,1,,,,,2,,119
2015 Fall,L&S Deans Office,L & S,Letters & Science,39E,1,Fresh/Soph Seminar,Anindita Adhikari,52245,6,7,6,2,,,,,,,,,,,23
2015 Fall,L&S Deans Office,L & S,Letters & Science,39F,1,Fresh/Soph Seminar,Yang Xu,52248,5,4,1,,,,,,,,,,,,13
2015 Fall,L&S Deans Office,L & S,Letters & Science,39I,1,Fresh/Soph Seminar,Michael Nylan,52257,1,6,2,1,1,,,,,,,,,1,14
2015 Fall,L&S Deans Office,L & S,Letters & Science,40C,1,Historical Studies,Kathleen Moran,52020,,22,19,4,9,4,2,2,1,1,,,1,2,97
2015 Fall,L&S Deans Office,L & S,Letters & Science,C60U,1,Marxnietzschefreud,Karen Feldman,52035,,6,4,2,1,1,,,1,,,,,,28
2015 Fall,L&S Deans Office,L & S,Letters & Science,C70U,1,General Astronomy,Alexei Filippenko,52038,6,15,14,9,15,9,1,4,1,,,1,,1,168
2015 Fall,L&S Deans Office,L & S,Letters & Science,C70V,1,Descriptive Intro,Yury Kolomensky,52119,6,27,16,9,7,4,6,5,2,,1,,3,,118
2015 Fall,L&S Deans Office,L & S,Letters & Science,C70Y,1,Earthquakes,Horst Rademacher,52158,6,7,9,7,12,2,10,2,,,,,,,91
2015 Fall,L&S Deans Office,L & S,Letters & Science,120C,1,Arts & Literature,Ronald Hendel,52161,,16,11,1,2,,,2,,,,,2,,47
2015 Fall,L&S Deans Office,L & S,Letters & Science,C140V,1,Human Rights,Lynsay Skiba,52176,,13,21,4,1,2,1,,,,,,1,,55
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,12,1,Env Sci Sustainable,George Kondolf,48503,,17,23,21,9,8,2,2,1,,,,,,94
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,101,1,Design Fundamentals,Jennifer Brooks,48518,,1,3,9,4,2,,,,,,,,1,20
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,103,1,Energy Fantasy Form,Charles Sullivan,48524,7,,1,1,1,,,,,,,,,,10
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,110,1,Ecological Analysis,Iryna Dronova,48530,4,24,18,9,21,4,3,2,,,,,,1,87
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,110L,2,Ecol Analysis Lab,Iryna Dronova,48536,2,21,1,,,,,,,,,,,,24
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,111,1,Plants In Design,Richard Hindle,48539,2,29,6,2,2,,3,1,1,,,,,2,49
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,120,1,Topo Form & Design,Kelley Lemon; Michael Lamb,48542,6,10,4,3,,1,1,,,,,,,,25
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,134B,1,Drawing Workshop Ii,Carl Kullmann,48554,4,17,10,2,,,,,,,,,1,,34
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,135,1,Art Land Drawing,Charles Sullivan,48560,7,10,2,4,,,,,,,,,,,23
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,C171,1,Amer Dsgn Land 1850,Louise Mozingo,48566,1,1,2,7,,2,3,3,1,,,,,,24
2015 Fall,Landscape Arch & Env Plan,LD ARCH,Landscape Arch & Env Plan,C188,1,Geog Info System,John Radke,48569,6,19,12,12,14,10,,2,,,,,1,,88
2015 Fall,Law,LEGALST,Legal Studies,R1B,1,Reading & Comp,Jonathan Marshall; Kathryn Heard,51503,,4,5,5,2,2,,2,,,,,,,20
2015 Fall,Law,LEGALST,Legal Studies,39D,1,Fresh/Soph Seminar,Alan Pomerantz,51506,5,5,1,3,,,,,,,,,,,19
2015 Fall,Law,LEGALST,Legal Studies,39G,1,Fresh/Soph Seminar,Jonathan Marshall,51505,1,,3,2,,,,1,,,,,,,10
2015 Fall,Law,LEGALST,Legal Studies,100,1,Foundations Legalst,Richard Perry,51521,,26,36,42,13,7,2,5,1,,,,,,136
2015 Fall,Law,LEGALST,Legal Studies,103,1,Theor Of Law & Soc,David Lieberman,51536,,7,9,15,4,8,6,1,3,,,,2,,56
2015 Fall,Law,LEGALST,Legal Studies,109,1,Aim/Limit Crim Law,Richard Perry,51545,,17,19,11,6,2,1,1,,,,,,,58
2015 Fall,Law,LEGALST,Legal Studies,140,1,Property & Liberty,Robert Brown,51554,2,8,9,7,7,7,4,1,2,,,,,1,50
2015 Fall,Law,LEGALST,Legal Studies,145,1,Law & Economics I,Robert Cooter,51563,2,7,4,6,16,10,8,6,3,1,,,2,,74
2015 Fall,Law,LEGALST,Legal Studies,158,1,Law & Development,James O'Connell,51587,,17,4,6,12,8,9,12,5,,,1,,,78
2015 Fall,Law,LEGALST,Legal Studies,163,1,Juvenile Justice,Franklin Zimring,51602,,9,4,10,18,9,4,4,,,,,,,60
2015 Fall,Law,LEGALST,Legal Studies,171,1,Euro Legal History,Charles Mcclain,51611,1,5,3,6,6,1,3,2,1,,,,1,,32
2015 Fall,Law,LEGALST,Legal Studies,182,1,"Law, Politics & Soc",Malcolm Feeley,51620,,10,10,6,16,7,3,6,4,,4,,2,,69
2015 Fall,Law,LEGALST,Legal Studies,184,1,Sociology Of Law,Catherine Albiston,51635,,27,5,6,39,3,3,2,,,,,1,,87
2015 Fall,Law,LEGALST,Legal Studies,190,1,Topics In Law/Soc,James Rule,51650,,4,2,2,1,1,,,,,,,,2,12
2015 Fall,Law,LEGALST,Legal Studies,190,2,Topics In Law/Soc,Christopher Tomlins,51653,1,1,4,2,1,,,,,,,,2,,11
