Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,African American Studies,AFRICAM,African American Studies,159,1,Spec Top Afam Lit,Nailah Suad-Bakari,664,,3,7,4,10,3,2,,,,,,,2,,,,3,34
2015 Spring,African American Studies,AFRICAM,African American Studies,198,3,Directed Group Stdy,Nailah Suad-Bakari,686,,,,,,,,,,,,,,9,,1,,,10
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C1,1,Intro To Env Econ,Gordon Rausser,1203,3,9,6,2,12,6,1,6,1,,,,,4,,1,,,51
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,100,1,Microecon Theory,Calanit Kamala,1218,3,12,5,4,5,5,2,3,2,,1,,,1,,3,,,46
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C101,1,Environmental Econ,Helene Ollivier,1233,10,29,34,15,16,2,1,,,,,,1,4,,2,,1,115
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C118,1,Intro Econometrics,Steven Buck,1254,1,8,4,4,9,10,1,2,1,,1,,1,,,,,1,43
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,142,1,Indust Organization,Kristin Kiesel,1263,,6,19,39,17,3,,,,,,,,2,,,,,86
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,143,1,Econ Of Innovation,Brian Wright,1278,2,14,22,6,10,7,,1,,,,,,5,,,,,67
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,147,1,Reg Of Energy & Env,Meredith Fowlie,1281,4,10,7,8,5,4,3,,,,,,,4,,1,,1,47
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,162,1,Econ Of Water Res,David Sunding,1302,1,5,7,5,7,4,5,6,3,,1,,,2,1,,,,47
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C180,1,Ecol Econ History,David Anthoff; Jalel Sager,1311,2,4,7,8,5,2,1,1,,1,1,,,,,,,,32
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C181,1,International Trade,Andres Rodriguez-Clare,1314,,3,3,4,18,5,2,5,2,,1,,1,4,,4,,,52
2015 Spring,Ag & Resource Econ & Pol,ENVECON,Environ Econ & Policy,C183,1,Forest Ecosyst Mgmt,Matthew Potts,1335,,1,1,,4,3,2,,2,1,1,,,,,,,,15
2015 Spring,Anthropology,ANTHRO,Anthropology,1,1,Intro To Bio Anthro,Terrence Deacon,2303,6,38,55,57,45,27,29,14,7,,,,8,48,,9,,,343
