Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,Economics,ECON,Economics,161,1,Trans East Europe,Joseph Lough,22693,5,1,,2,2,3,2,,1,,,,2,5,,2,,1,26
2015 Spring,Economics,ECON,Economics,162,1,Chinese Economy,David Roland-Holst,22696,2,20,34,21,18,17,7,1,4,,2,,1,19,,6,,2,154
2015 Spring,Economics,ECON,Economics,174,1,Poverty Impact Eval,Frederico Finan,22714,5,13,7,9,16,4,5,2,,,,,,8,,,,,69
2015 Spring,Economics,ECON,Economics,C175,1,Econ Demography,Joshua Goldstein; Ryan Edwards,22729,4,14,25,29,22,15,2,3,2,,,,1,17,,3,,,137
2015 Spring,Economics,ECON,Economics,C181,1,International Trade,Andres Rodriguez-Clare,22744,,20,10,16,25,12,4,5,4,,3,,2,8,,1,,,110
2015 Spring,Economics,ECON,Economics,183,1,Intl Econ Seminar,Archana Dube,22765,3,3,7,6,6,,,,,,,,,,,,,,25
2015 Spring,Economics,ECON,Economics,191,1,Topic Econ Research,Joseph Farrell,22768,4,13,1,2,1,,,,,,,,,,,,,,21
2015 Spring,Economics,ECON,Economics,196,1,Topics In Economics,Harrison Dekker; Michael Jansson,22893,,10,3,,,,,,,,,,,3,,,,,16
2015 Spring,Economics,ECON,Economics,198,3,Directed Group Stdy,Raymond Hawkins,22939,,,,,,,,,,,,,,10,2,,,,12
2015 Spring,Education,EDUC,Education,40AC,1,Experiencing Educ,Zeus Leonardo,24448,2,19,2,2,1,,,3,,,,,1,2,,,,,32
2015 Spring,Education,EDUC,Education,114A,1,Early Develop/Educ,Irenka Dominguez-Pareto,23713,6,2,8,7,2,4,2,1,,,,1,1,1,,1,,,36
2015 Spring,Education,EDUC,Education,130,1,Know Learn Math Sci,Benedikt Harrer; Dor Abrahamson,23722,2,22,7,3,2,2,,,,,,,,,,1,,,39
2015 Spring,Education,EDUC,Education,131AC,1,Sci And Math Equity,Rebecca Poon,23725,2,22,7,2,,1,,,,,,,,,,,,,34
2015 Spring,Education,EDUC,Education,140AC,1,Liter:Ind & Soc Dev,Glynda Hull,23728,,17,3,2,,,1,,,,,,1,,,,,,24
2015 Spring,Education,EDUC,Education,140AC,2,Liter:Ind & Soc Dev,Glynda Hull,23731,,8,2,4,1,,,1,1,,,,1,2,,,,,20
2015 Spring,Education,EDUC,Education,140AC,3,Liter:Ind & Soc Dev,Glynda Hull,23734,,11,5,1,1,,,,,,,,1,3,,,,,22
2015 Spring,Education,EDUC,Education,160,1,Soc Studies Methods,Rachel Reinhard,23737,,11,5,2,,,,,,,,,,,,,,1,19
2015 Spring,Education,EDUC,Education,183,1,High School In Amer,Daniel Perlstein,23740,6,15,24,12,4,1,,2,,1,,,2,6,,,,,73
2015 Spring,Education,EDUC,Education,188B,1,Native Amer Educ,Sahara Baquedano-Lopez,23755,2,14,1,1,3,,,1,1,,,,,,,,,1,24
2015 Spring,Education,EDUC,Education,190,1,Critical Studies,Glynda Hull,23758,,17,7,2,,3,2,,,,,,1,2,,,,,34
2015 Spring,Education,EDUC,Education,190,2,Critical Studies,Glynda Hull,23761,1,21,3,4,,1,1,,,,,,,,,,,,31
2015 Spring,Education,EDUC,Education,190,3,Critical Studies,Glynda Hull,23764,2,8,5,5,2,,1,,,,,,,,,,,,23
2015 Spring,Education,EDUC,Education,190,4,Critical Studies,Glynda Hull,23766,,7,17,4,1,,,,,,,,,,,,,,29
2015 Spring,Education,EDUC,Education,195B,1,Special Topics,Richard Mccallum,23767,1,23,,,,,,,,,,,,2,,,,,26
2015 Spring,Education,EDUC,Education,197,1,Field Study,Richard Mccallum,23770,,,,,,,,,,,,,,23,,2,,2,27
2015 Spring,Education,EDUC,Education,197,48,Field Study,Glynda Hull,23845,,,,,,,,,,,,,,36,,3,,,39
2015 Spring,Education,EDUC,Education,198,37,Directed Group Stdy,Anthony Mirabelli; Lorena Valdez,23962,,,,,,,,,,,,,,18,,1,,,19
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9E,1,Productive Unix Use,Paul Hilfinger,25662,,,,,,,,,,,,,,31,1,28,,18,78
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9F,1,Programmers' C++,Paul Hilfinger,25665,,,,,,,,,,,,,,16,3,13,1,5,38
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9G,1,Programmers' Java,Paul Hilfinger,25668,,,,,,,,,,,,,,4,,5,,3,12
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,9H,1,Programmers' Python,Paul Hilfinger,25671,,,,,,,,,,,,,,7,6,6,,3,22
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,10,1,Beauty Joy Computng,Daniel Garcia,25674,20,61,19,10,19,2,5,4,2,,1,,6,52,1,16,,1,219
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,47B,1,Supl Data Structure,Paul Hilfinger,25749,1,4,1,,2,,,,,,,,,,,1,,1,10
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61A,1,Str Interp Cmp Prgs,John Denero,25755,31,110,116,153,171,55,31,24,25,4,6,3,21,110,3,62,,4,929
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,1,Str Interp Comp Prg,Jesse Halim; Paul Hilfinger,25902,1,,1,3,3,2,,1,,2,,,1,3,,8,,,25
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,2,Str Interp Comp Prg,Paul Hilfinger; Reia Cho,25905,3,,,3,4,2,1,2,1,,,,2,2,,7,,2,29
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61AS,4,Str Interp Comp Prg,Judy Wang; Paul Hilfinger,25911,1,,1,1,3,,,,,1,,,,5,,3,,,15
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61B,1,Data Structures,Joshua Hug,25914,6,67,80,92,82,37,20,22,7,4,6,5,15,23,1,14,,6,487
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61B,2,Data Structures,Joshua Hug,25917,13,62,104,93,88,31,15,18,10,9,3,5,9,25,1,19,1,6,512
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,61C,1,Machine Structures,Krste Asanovic; Vladimir Stojanovic,26088,12,46,22,50,72,55,33,32,13,,19,,5,4,,10,,3,376
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,70,1,Discrete Math&Prob,Umesh Vazirani,26175,17,57,60,97,109,44,26,24,23,9,8,,8,1,,16,,5,504
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,97,203,Field Study,Joshua Hug,26244,,,,,,,,,,,,,,38,,7,,,45
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,97,204,Field Study,John Denero,26247,,,,,,,,,,,,,,122,,3,,,125
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,97,205,Field Study,Krste Asanovic; Vladimir Stojanovic,26250,,,,,,,,,,,,,,8,,14,,,22
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,1,Directed Group Stdy,Daniel Garcia,26253,,,,,,,,,,,,,,19,,3,,,22
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,3,Directed Group Stdy,Daniel Garcia,26259,,,,,,,,,,,,,,21,,1,,,22
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,32,Directed Group Stdy,Bjorn Hartmann,25697,,,,,,,,,,,,,,51,,1,,,52
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,34,Directed Group Stdy,Bjorn Hartmann,25729,,,,,,,,,,,,,,19,,2,,,21
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,47,Directed Group Stdy,Pieter Abbeel,26260,,,,,,,,,,,,,,48,,2,,,50
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,50,Directed Group Stdy,John Denero; Thomas Warloe,26261,,,,,,,,,,,,,,24,,1,,,25
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,52,Directed Group Stdy,John Denero,25709,,,,,,,,,,,,,,159,,12,,,171
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,98,54,Directed Group Stdy,Joshua Hug,25751,,,,,,,,,,,,,,55,,3,,,58
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,160,1,User Interfaces,Andrew Carle,26316,1,18,22,17,16,5,9,2,,,1,,2,2,,,,,95
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,161,1,Computer Security,Xiaodong Song,26331,6,28,13,29,49,34,10,15,5,,3,,5,7,,5,,,209
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,162,1,Op Sys And Sys Prog,John Kubiatowicz,26358,4,29,60,74,51,29,22,8,7,3,1,1,,6,,7,,1,303
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,164,1,Prog Lang And Comp,Paul Hilfinger,26397,8,24,25,9,7,10,7,4,2,1,,1,,9,,1,,,108
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,169,1,Software Engineer,Armando Fox,26412,9,52,45,21,33,16,9,29,8,,3,,4,7,,2,,,238
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,170,1,Intro Cs Theory,Christos Papadimitriou; Prasad Raghavendra,26433,10,78,59,68,145,50,23,39,21,,9,,3,12,2,8,,1,528
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,172,1,Comp And Complexity,Luca Trevisan,26478,7,12,5,5,3,6,3,5,3,,,,1,5,,3,,,58
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,174,1,Comb And Disc Prob,Michael Jordan,26487,,29,,,42,,,8,,,1,,,6,,3,,,89
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,184,1,Computer Graphics,James O'Brien,26502,8,9,20,10,7,8,10,4,2,,,,8,2,,1,,1,90
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,186,1,Intro To Database,Joseph Hellerstein,26517,12,77,19,37,105,23,19,26,6,3,4,,1,9,,5,,,346
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,188,1,Artif Intelligence,Pieter Abbeel,26550,13,63,100,141,113,63,39,18,5,2,1,,6,2,2,4,2,4,578
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,189,1,Intro Machine Learn,Alexei Efros; Peter Bartlett,26586,14,45,13,76,57,19,12,17,1,,3,3,2,27,,6,,,295
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,5,Special Topics,David Culler,26613,2,12,1,,2,,,,,,,,,1,,,,,18
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,8,Special Topics,Daniel Garcia; James O'Brien,26616,3,4,4,2,1,,,,,,,,,,,1,,,15
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,194,27,Special Topics,David Culler,26618,1,7,2,,1,,,,,,,,,,,,,,11
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,195,1,Social Implic Comp,John Denero,26619,,,,,,,,,,,,,,267,,1,,,268
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,197,204,Field Study,John Denero,26646,,,,,,,,,,,,,,38,,4,,,42
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,1,Directed Group Stdy,Daniel Garcia,26652,,,,,,,,,,,,,,42,,4,,,46
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,32,Directed Group Stdy,Bjorn Hartmann,25700,,,,,,,,,,,,,,41,1,10,,,52
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,34,Directed Group Stdy,Bjorn Hartmann,25727,,,,,,,,,,,,,,23,,1,,,24
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,35,Directed Group Stdy,Bjorn Hartmann,25730,,,,,,,,,,,,,,20,,4,,,24
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,41,Directed Group Stdy,Cameron Baradar; Michel Maharbiz,25756,,,,,,,,,,,,,,8,2,1,,,11
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,47,Directed Group Stdy,Pieter Abbeel,26659,,,,,,,,,,,,,,39,,3,,,42
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,50,Directed Group Stdy,John Denero; Thomas Warloe,26660,,,,,,,,,,,,,,26,1,,,,27
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,52,Directed Group Stdy,John Denero,25747,,,,,,,,,,,,,,16,,3,,,19
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,54,Directed Group Stdy,Joshua Hug,25753,,,,,,,,,,,,,,18,,1,,,19
2015 Spring,Electrical Eng & Comp Sci,COMPSCI,Computer Science,198,100,Directed Group Stdy,Paul Hilfinger,26661,,,,,,,,,,,,,,8,,3,,,11
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,16A,1,Design Info Dev I,Babak Ayazifar; Claire Tomlin; Elad Alon,24503,14,25,5,7,3,1,1,,,,,,,,,,,1,57
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,20,1,Sys And Signals,Avideh Zakhor; Babak Ayazifar,24551,3,88,7,6,86,7,3,62,3,1,4,2,2,1,,4,,2,281
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,40,1,Int Micro Circuits,Michel Maharbiz,24602,26,43,35,49,49,57,31,29,22,12,6,1,5,1,,5,,,371
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,98,1,Directed Group Stdy,Clark Nguyen,24659,,,,,,,,,,,,,,20,,1,,,21
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,98,2,Directed Group Stdy,Pieter Abbeel,24662,,,,,,,,,,,,,,26,,3,,,29
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,105,1,Micro Dev & Cir,David Allstot,24689,1,5,3,7,8,5,5,,,3,1,,,2,,,,1,41
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,117,1,Em Fields & Waves,Eli Yablonovitch,24707,,6,,1,4,1,2,2,1,,,,,,,,,,17
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,120,1,Signals And Systems,Murat Arcak,24716,3,14,23,5,12,10,11,4,,1,,,2,,,1,,,86
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,122,1,Comm Networks,Adam Wolisz,24728,1,5,3,5,3,,1,,4,2,2,1,4,1,,,1,1,34
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,123,1,Digit Sig Process,Shimon Lustig,24737,1,8,8,5,3,1,2,,,,,,,4,1,,,2,35
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,126,1,Prob & Random Proc,Abhay Parekh,24743,1,8,,3,11,2,5,1,1,,,,,6,,,,,38
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,127,1,Optimization Models,Laurent El Ghaoui,24749,2,8,6,3,7,3,,,,,,,1,2,,2,,,34
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,C128,1,Feedback Cntrl Sys,Ronald Fearing,24761,1,8,4,4,2,4,2,1,2,,1,,1,2,,,,,32
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,134,1,Photovoltaic Devic,Ana Arias,24791,2,6,2,4,4,3,3,2,1,,2,,,,1,1,,,31
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,137B,1,Elec Power Systems,Alexandra Von Meier,24800,,7,3,2,1,,,,,,,,,,,,,,13
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,140,1,Lin Integ Circ,Kristofer Pister,24806,1,7,2,2,,2,,,1,,,,,2,,,,1,18
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,143,1,Microfab Tech,Ali Javey,24836,2,10,5,4,,,,,,,1,,,1,,,,,23
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,192,1,Mechtron Design Lab,Ronald Fearing,24866,1,5,7,9,3,1,,,,,,,,6,1,,,,33
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,198,1,Directed Group Stdy,Clark Nguyen,24893,,,,,,,,,,,,,,12,1,1,,,14
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,198,2,Directed Group Stdy,Pieter Abbeel,24896,,,,,,,,,,,,,,32,,1,,,33
2015 Spring,Electrical Eng & Comp Sci,EL ENG,Electrical Engineering,198,6,Directed Group Stdy,Clark Nguyen,24907,,,,,,,,,,,,,,12,,2,,,14
2015 Spring,Energy & Resources Group,"ENE,RES",Energy and Resources,102,1,Global Env Probs,John Harte,27162,5,28,10,1,6,,,8,,,,,,4,,1,,1,64
2015 Spring,Energy & Resources Group,"ENE,RES",Energy and Resources,190,1,"Ene,Env Dev Sec Iss",Julian Fulton,27189,,12,9,5,6,1,1,1,,1,2,,,3,,,,,41
2015 Spring,Engineering Science,DES INV,Design Innovation,190,1,Spec Topics Des Inv,Bjorn Hartmann; Greg Niemeyer; Robert Full,18403,,22,,,,,,,,,,,,2,,,,,24
2015 Spring,Engineering Science,DES INV,Design Innovation,190,2,Spec Topics Des Inv,Abigail Vanmuijen,18406,,21,3,1,2,,,,,,,,,1,2,,,,30
2015 Spring,Engineering Science,ENGIN,Engineering,7,1,Intr Computer Prog,Raja Sengupta,27403,6,21,41,39,77,82,54,30,13,6,4,1,5,6,,1,,1,387
2015 Spring,Engineering Science,ENGIN,Engineering,25,1,Vis For Des,Dennis Lieu,27466,2,11,4,3,8,4,4,5,,,1,,,1,,1,,,44
2015 Spring,Engineering Science,ENGIN,Engineering,26,1,3 Dimen Mod Des,Kourosh Youssefi,27469,,32,11,8,23,4,1,1,1,,,,,,,,,,81
2015 Spring,Engineering Science,ENGIN,Engineering,27,1,Intro Manfctrng Tol,Hayden Taylor,27472,5,16,3,4,9,4,3,2,1,,1,,,,,,,1,49
2015 Spring,Engineering Science,ENGIN,Engineering,45,1,Prop Of Matls,Mark Asta,27475,1,12,11,6,11,5,2,4,1,,1,,1,,,,,1,56
2015 Spring,Engineering Science,ENGIN,Engineering,98,1,Directed Group Stdy,Ikhlaq Sidhu,27493,,,,,,,,,,,,,,31,,2,,,33
2015 Spring,Engineering Science,ENGIN,Engineering,120,1,Prin Of Engr Econom,Enzo Sauma,27499,11,39,32,23,14,5,,3,,,,,,6,,2,,,135
2015 Spring,Engineering Science,ENGIN,Engineering,157AC,1,"Eng,Envrn & Society",Khalid Kadir,27511,,22,6,5,8,1,,,,,,,,6,,,,1,49
2015 Spring,Engineering Science,ENGIN,Engineering,177,1,Adv Progrmmng Mtlab,Michael Frenklach,27523,7,22,17,15,15,7,12,3,3,1,2,1,,1,,,,,106
2015 Spring,Engineering Science,ENGIN,Engineering,198,1,Directed Group Stdy,Ikhlaq Sidhu,27526,,,,,,,,,,,,,,82,3,,,,85
2015 Spring,English,ENGLISH,English,R1A,1,Reading And Comp,Aristides Dimitriou; Kevis Bea Goodman,27803,,3,6,4,2,,1,1,,,,,,,,,,,17
2015 Spring,English,ENGLISH,English,R1A,2,Reading And Comp,Katherine Ding; Kevis Bea Goodman,27806,,,2,4,4,3,1,,,,,,,,,,,,14
2015 Spring,English,ENGLISH,English,R1A,3,Reading And Comp,David Vandeloo; Kevis Bea Goodman,27809,,1,1,7,6,1,,1,1,,,,,,,,,,18
2015 Spring,English,ENGLISH,English,R1A,4,Reading And Comp,Chad Crosson; Kevis Bea Goodman,27812,,1,3,4,4,,,2,1,1,1,,,,,,,,17
2015 Spring,English,ENGLISH,English,R1A,5,Reading And Comp,Christopher Mead; Kevis Bea Goodman,27815,,5,6,3,3,,,,,,,,,,,,,,17
2015 Spring,English,ENGLISH,English,R1A,6,Reading And Comp,Kevis Bea Goodman; Khalil Sullivan,27818,3,6,4,2,4,,,,,,,,,,,,,,19
2015 Spring,English,ENGLISH,English,R1A,7,Reading And Comp,Kevis Bea Goodman; Ryan Mcwilliams,27821,,3,8,3,3,,,,,,,,,,,,,,17
2015 Spring,English,ENGLISH,English,R1A,8,Reading And Comp,Nilofar Gardezi,27823,,1,3,1,3,,,,,,,,2,,,,,,10
2015 Spring,English,ENGLISH,English,R1B,1,Reading And Comp,Jose Villagrana; Kevis Bea Goodman,27824,,3,6,5,,1,,,,,,,1,,,,,,16
2015 Spring,English,ENGLISH,English,R1B,2,Reading And Comp,Kevis Bea Goodman; Sharon Hsu,27827,,5,3,5,4,,,,,,,,,,,,,,17
2015 Spring,English,ENGLISH,English,R1B,3,Reading And Comp,Alexander Jeziorek; Kevis Bea Goodman,27830,,2,9,2,1,1,2,,,,,,,,,,,,17
2015 Spring,English,ENGLISH,English,R1B,4,Reading And Comp,Kevis Bea Goodman; Lucy Sirianni,27833,,1,2,2,2,5,,3,1,,,,,,,,,,16
2015 Spring,English,ENGLISH,English,R1B,5,Reading And Comp,Adrian Acu; Kevis Bea Goodman,27836,,,7,6,1,1,,,,,,,,,,,,,15
2015 Spring,English,ENGLISH,English,R1B,6,Reading And Comp,Esther Yu; Kevis Bea Goodman,27839,,,6,7,3,1,,,,,,,,,,,,,17
2015 Spring,English,ENGLISH,English,R1B,7,Reading And Comp,Kevis Bea Goodman; Matthew Ramirez,27842,1,2,6,3,2,,,,,,,,,,,,,,14
2015 Spring,English,ENGLISH,English,R1B,8,Reading And Comp,Kevis Bea Goodman; Spencer Strub,27845,,4,8,4,1,1,,,,,,,1,,,,,,19
2015 Spring,English,ENGLISH,English,R1B,9,Reading And Comp,Catherine Browning,27848,1,6,7,2,1,,,,,,,,,,,,,1,18
2015 Spring,English,ENGLISH,English,R1B,10,Reading And Comp,Juliana Chow; Kevis Bea Goodman,27851,,4,4,4,1,2,,,,,,,,,,,,,15
2015 Spring,English,ENGLISH,English,R1B,11,Reading And Comp,Catherine Browning,27854,1,10,3,,2,,,,,,,,,,,,,1,17
2015 Spring,English,ENGLISH,English,R1B,12,Reading And Comp,Aileen Liu; Kevis Bea Goodman,27857,,3,6,4,2,,1,1,,,,,,,,,,,17
2015 Spring,English,ENGLISH,English,24,4,Freshman Seminars,Richard Hutson,28592,,,,,,,,,,,,,,12,,1,,,13
2015 Spring,English,ENGLISH,English,26,1,Intro To Poetry,Jasper Bernes,27866,,8,11,2,,,,,,,,,,2,,,,,23
2015 Spring,English,ENGLISH,English,27,1,Intro To Fiction,Marisa Knox,27869,,4,5,5,2,2,,,,,,,,1,,,,,19
2015 Spring,English,ENGLISH,English,27,2,Intro To Fiction,Mitchell Breitwieser,27872,2,12,2,5,,,,,,,,,,2,,,,,23
2015 Spring,English,ENGLISH,English,43B,1,Intro/Writing Verse,Claire Marie Stancek; Lyn Hejinian,27875,,3,3,3,,,,,,,,,,1,,,,,10
2015 Spring,English,ENGLISH,English,45A,1,Lit In English,James Turner,27878,,1,7,11,9,5,1,1,1,,,,,1,,1,,,38
2015 Spring,English,ENGLISH,English,45A,2,Lit In English,Maura Nolan,27887,,13,15,9,14,2,,,,,,,2,,,,,,55
2015 Spring,English,ENGLISH,English,45B,1,Lit In English,Kent Puckett,27896,,15,18,13,18,9,5,2,,,,,2,1,,,,2,85
2015 Spring,English,ENGLISH,English,45B,2,Lit In English,Elisa Tamarkin,27908,,14,29,16,2,,,,,,,,,,,,,1,62
2015 Spring,English,ENGLISH,English,45C,1,Lit In English,Eric Falci,27917,7,25,27,18,11,5,,2,2,1,,,,,,1,,,99
2015 Spring,English,ENGLISH,English,45C,2,Lit In English,Katherine Snyder,27929,,3,8,9,6,3,,,1,,,,,2,,1,,,33
2015 Spring,English,ENGLISH,English,98BC,1,Directed Group Stud,Kathleen Donegan; Serena Le,27992,,,,,,,,,,,,,,14,,1,,,15
2015 Spring,English,ENGLISH,English,117B,1,Shakespeare,Robert Hass,28025,,4,10,14,10,9,5,1,1,,,,1,4,,,,1,60
2015 Spring,English,ENGLISH,English,117S,1,Shakespeare,Jeffrey Knapp,28037,,13,21,18,23,11,6,3,1,1,,,1,4,,2,,,104
2015 Spring,English,ENGLISH,English,118,1,Milton,Kevis Bea Goodman,28040,,15,10,10,8,3,2,6,1,,1,,3,,,1,,,60
2015 Spring,English,ENGLISH,English,120,1,Lit Later 18th Cent,Janet Sorensen,28043,,8,7,6,4,1,4,2,,,,,1,2,,1,,1,37
2015 Spring,English,ENGLISH,English,121,1,Romantic Period,Celeste Langan,28046,,4,5,6,4,3,,2,,,,,2,3,,,,,29
2015 Spring,English,ENGLISH,English,122,1,Victorian Period,Joseph Lavery,28049,,14,9,3,,,,,,,,,,1,,,,2,29
2015 Spring,English,ENGLISH,English,125A,1,English Novel,Janet Sorensen,28052,,4,11,5,2,2,,,,,,,,2,,,,,26
2015 Spring,English,ENGLISH,English,125A,2,English Novel,George Starr,28055,,9,9,5,4,1,,,,,,,,,,,,,28
2015 Spring,English,ENGLISH,English,125E,1,Contemporary Novel,Hertha Wong,28061,,20,42,23,15,3,3,1,,,,,,10,,,,2,119
2015 Spring,English,ENGLISH,English,130D,1,Am Lit: 1900-45,Carolyn Porter,28079,,12,10,1,3,,,,,,,,,2,,,,2,30
2015 Spring,English,ENGLISH,English,131,1,American Poetry,Geoffrey O'Brien,28082,9,17,8,9,1,4,3,3,,,,,,7,,,,1,62
2015 Spring,English,ENGLISH,English,133T,1,Topics Af Am,Steven Lee,28085,,2,7,7,,1,,,,,,,2,1,,,,1,21
2015 Spring,English,ENGLISH,English,141,1,Modes Of Writing,Cecil Giscombe,28088,,3,7,3,,,,,,,,,,,1,,,,14
2015 Spring,English,ENGLISH,English,141,2,Modes Of Writing,Kirsten Tranter,28091,3,1,22,13,6,,,,,,,,,2,,,,,47
2015 Spring,English,ENGLISH,English,143A,2,Short Fiction,Georgina Kleege,28097,,14,1,,,,,,,,,,,,,,,,15
2015 Spring,English,ENGLISH,English,143B,1,Verse,Geoffrey O'Brien,28100,4,4,1,2,,,,,,,,,,1,,,,,12
2015 Spring,English,ENGLISH,English,165,1,Special Topics,Mark Goble,28109,,4,11,5,4,1,,,,,,,,3,,,,1,29
2015 Spring,English,ENGLISH,English,165,2,Special Topics,Steven Isenberg,28112,,3,6,4,,1,,,,,,,,1,,,,1,16
2015 Spring,English,ENGLISH,English,166,1,Special Topics,Ian Duncan,28115,,9,10,5,1,,,,,,,,,,,,,,25
